formula,capacity
Li64.00064Ge8P32,850.8213441708207
Li64.00008Si8P32,1033.463167780667
Li64.016Ge8P32,850.9805509530338
Li8.6Os3.4O12,256.57930047189075
Li0.993Ni1.007O2,271.6245018258756
Li2.6668Ti3.3332O8,233.56711611672006
Li4.136Sm15.864Ge16,31.002470990864133
Li4.12Nd15.88Ge16,31.724337007796407
Li4.184Gd15.816Ge16,30.491806868803625
LiH2N,1167.1843401356593
LiH2N,1167.1843401356593
Li2ZnGe3,180.41767158374935
Li3(ZnSn2)2,128.37499866968915
Li2Ca3N6,245.71964025626139
LiAlH4,706.3015270751359
Li1.02Co0.98O1.98,283.30338831197804
Li0.58Co0.98O1.98,166.3576700010724
Li0.53Co0.98O1.98,152.58302521377433
Li1.02Co0.98O1.98,283.30338831197804
Li0.58Co0.98O1.98,166.3576700010724
Li0.53Co0.98O1.98,152.58302521377433
Li28.7334Al1.2666Si8,1680.7276928848826
Li28.8192Al1.1808Si8,1692.0953209238828
LiUF5,78.84682635395934
K8Ge43.684,0.0
K32Ge175.684,0.0
K32Ge175.684,0.0
K32Ge175.12,0.0
K32Ge174.4,0.0
K32Ge174.4,0.0
K32Ge174.4,0.0
Li0.75Mo0.25O1,444.8562630229943
Li4SiO4,894.6741392817576
Li2CuO2,489.9302826669267
Li12AgGe4,667.815447643961
LiLaO2,150.7200199918783
Li3VO4,592.3443331369083
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
Li2.04Ti4O8,163.90628696758682
LiBH4,1230.628755649415
Li3.999Mn2.001O6,458.71168680748127
Li4.001Mn1.999O6,459.12971239502116
Li2SO4,487.6397226770158
Li2MnO3,458.92065666076974
Ba3(LiSn2)4,77.1699345934824
Li1.02V1.888Sn1.092,117.40423578738174
Li11V3.6Sn3.4,444.5111106421027
Li2CuP,494.5674456744568
Li4Si2H0.927,1263.453250208217
Li4Ge2H0.927,616.3811456342806
Ba39Li80N9,355.2074890253769
Li9S3N,1397.3356501592818
Li8Al4.844Cu13.156,209.78259355482152
Li3.7Zr2O6,326.1166607115326
Li3.6Zr2O6,318.0284215244273
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
LiMn2O4,148.24441740712066
Li2PS3,380.1289838699258
Li3NbO4,452.47553349913164
Li3RuO4,432.60351103699327
Mo2O3,0.0
LiAlCl4,152.5469813086476
Li4Ge2B,583.2683578426929
Li9Al4Sn5,315.8011859725368
LiNbO3,181.30727618978906
LiTaO3,113.63582837574954
Li0.8B2C2,418.90225903352956
Li0.8B2C2,418.90225903352956
Li1.12B2C2,562.0791687052958
Li1.66B2C2,778.4624009318028
Li1.8B2C2,830.0075689809398
Li1.9B2C2,865.7830815550192
Li1.9B2C2,865.7830815550192
LiBC,900.7243130227001
LiBC,900.7243130227001
Li0.9B2C2,464.96164668696764
Li(BC)2,509.80516461688023
Li2Si3O7,255.12699507988253
LiBH4,1230.628755649415
LiBH4,1230.628755649415
LiBH4,1230.628755649415
Li2TbF6,186.92204285454173
Ba2LiN,90.67878473514278
Ba3LiN,61.91517428640356
Li8.74Si4Ag3.26,446.544842799654
Li2IrO3,210.98430189339282
Li2PtO3,208.63601771136015
Li2SeO4,341.8203972909406
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
Li1.994Fe2As1.99,194.63136929312577
LiCoO2,273.8893997706708
LiCoO2,273.8893997706708
LiAlH4,706.3015270751359
LiAlH4,706.3015270751359
LiAlH4,706.3015270751359
LiAlH4,706.3015270751359
Li2BPd3,155.86890859459547
Li2BPt3,87.89715395391457
LiHPd,234.3798576136293
Li4P2O7,531.5714905815447
LiFe5O8,64.72192376361005
LiFeP,285.89847967187745
Li(CuP)2,136.77699538501662
Li11Ce24F100,55.22550318419378
LiFeP,285.89847967187745
Li8SeN2,1319.6581196581196
Li8SeN2,1319.6581196581196
Li8TeN2,1015.6504899329565
Li8TeN2,1015.6504899329565
Li2.6668Ti3.3332O8,233.56711611672006
Li2H6Pt,249.3447272246201
LiNbO3,181.30727618978906
LiNbO3,181.30727618978906
LiNbO3,181.30727618978906
LiNbO3,181.30727618978906
Li0.5As0.5Se1,111.79135863223911
LiAsSe2,111.79135863223911
LiAsSe2,111.79135863223911
Li2Ge4O9,119.56090791951631
Li2Ge4O9,119.56090791951631
Li2Ge4O9,119.56090791951631
Li4P2O7,531.5714905815447
Li4P2O7,531.5714905815447
Li1.9238Mn4O7.8608,143.69136490101533
LiCoO2,273.8893997706708
LiNiO2,274.55425476586356
LiCoO2,273.8893997706708
Li2PtF6,165.99922935072797
Li3.66668Mn8O16,136.32722062457668
Li(BH)6,344.33197456011146
Li7.8924Ce20Sn28.1076,34.156618417739715
Li7.9184Pr20Sn28.0816,34.197949373839485
Li7.976Nd20Sn28.024,34.11602368377445
Li2Sm5Sn7,33.57724680494229
SrLiAs,158.16166646343302
Sr2Li1.9As1.964,151.77199803255678
LiNbO3,181.30727618978906
Li0.5Sb0.5Te1,69.82431767532054
Li2HfF6,174.98812256784643
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li(C3N2)2,198.50085571353347
Li3Cu5.986Sn4.014,91.62117645822808
Li2CuSn2,170.27725018298187
Li2AgGe,275.8056956019709
Li25.28Ag10Ge20,250.3541689675047
Li2SnS3,234.34502387162266
Li2Si3Ir,184.63987570770647
LiMn4O8,75.5724712589669
Li3AlF6,497.01277297074586
Li2B2C,1128.4174092004023
LiOsO3,109.3345660380779
LiOsO3,109.3345660380779
Li50.19Ca30Zn111.81,151.83304780036084
Li14.949Ca12Zn44.051,115.65482143406139
Li3.984Mn2.016O5.908,458.46641709883124
LiCrSe2,123.60765265865332
LiCrTe2,85.3299661156031
LiMn2O4,148.24441740712066
LiPS3,199.9012301486685
Li5SiP3,860.7691226327512
Li5SiP3,860.7691226327512
Li3Si3P7,249.8242169499389
Li3Si3P7,249.8242169499389
LiGeSe2,112.87024950758162
LiBH4,1230.628755649415
LiBH4,1230.628755649415
Li2TiF6,305.0470910519731
Li6.66664W24I56,15.452284491532225
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li2.6668Ti3.3332O8,233.56711611672006
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
Li3PO4,694.4804278863039
Li3PO4,694.4804278863039
