formula,capacity
NaV6O15,47.14059327780026
NaV6O15,47.14059327780026
NaV6O15,47.14059327780026
NaV6O15,47.14059327780026
Na3.996Mg6Sn4,150.32881612889048
Na3.98Mg6Pb4,100.06855739675241
Na3.98Mg4Sn3,195.80815260985702
NaTaO3,106.39658472475811
NaTaO3,106.39658472475811
NaTaO3,106.39658472475811
NaTaO3,106.39658472475811
NaB,793.0637738330047
NaBH4,708.541857569136
Cs30Na2.44Sn162.64,2.801047672246826
Cs30Na2.96Sn162.32,3.401784769602592
Na10CaSn12,158.19153470378018
Na10SrSn12,153.87451238522397
Na49Cd58.344Sn37.692,108.02134775127746
Na49Cd58.344Sn37.692,108.02134775127746
Na26Cd40.176Pb13.824,87.35547726009123
Ba4Na51Sn77.524,125.13710495679778
Ba4Na51Sn77.412,125.28958443992178
Ba4Na51Sn80.588,121.1050231253028
Ba4Na51Sn77.336,125.39326446324637
Cs5.798Na20.202Sn46,80.8764619636047
Rb6.362Na19.638Sn46,81.53916884588094
K7.12Na18.88Sn46,81.9828978217777
Rb5Na3Sn25,23.21457095623825
Cs5.798Na20.202Sn46,80.8764619636047
Rb6.362Na19.638Sn46,81.53916884588094
K7.12Na18.88Sn46,81.9828978217777
Rb5Na3Sn25,23.21457095623825
CsNa2Si17,81.68254185912852
CsNa2Ge17,37.92523423253474
CsNa2Si17,81.68254185912852
CsNa2Si17,81.68254185912852
CsNa2Si17,81.68254185912852
CsNa2Si17,81.68254185912852
CsNa2Si17,81.68254185912852
K0.9Na0.1Cl1,36.7506485632591
K0.9Na0.1Cl1,36.7506485632591
K0.9Na0.1Cl1,36.7506485632591
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.8Na0.2Cl1,75.16138278251333
K0.7Na0.3Cl1,115.34728497592648
K0.7Na0.3Cl1,115.34728497592648
K0.7Na0.3Cl1,115.34728497592648
K0.7Na0.3Cl1,115.34728497592648
K0.7Na0.3Cl1,115.34728497592648
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
K0.2Na0.8Cl1,347.77406578515854
